表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,
公開日：,2022年6月21日,,,,,,,
,,,,,,,,
***,調査又は集計していないもの,,,,,,,
-,データが得られないもの,,,,,,,
X,数値が秘匿されているもの,,,,,,,
,,,,,,,,
,,,,/項目 コード,C120110,,C120120,
調査年 コード,調査年,地域 コード,地域,/項目,C120110_課税対象所得【千円】,注釈,C120120_納税義務者数（所得割）【人】,注釈
2020100000,2020年度,1434,北海道 秩父別町,,2924247,,1043,
2020100000,2020年度,1436,北海道 雨竜町,,2932377,,979,
2020100000,2020年度,1437,北海道 北竜町,,2065135,,696,
2020100000,2020年度,1438,北海道 沼田町,,3779824,,1311,
2020100000,2020年度,1452,北海道 鷹栖町,,7582081,,2727,
2020100000,2020年度,1453,北海道 東神楽町,,13327018,,4438,
2020100000,2020年度,1454,北海道 当麻町,,6525436,,2534,
2020100000,2020年度,1455,北海道 比布町,,3872052,,1458,
2020100000,2020年度,1456,北海道 愛別町,,2697079,,1029,
2020100000,2020年度,1457,北海道 上川町,,3731753,,1484,
2020100000,2020年度,1458,北海道 東川町,,9163840,,3291,
2020100000,2020年度,1459,北海道 美瑛町,,12432935,,4119,
2020100000,2020年度,1460,北海道 上富良野町,,13445963,,4827,
2020100000,2020年度,1461,北海道 中富良野町,,5671370,,1953,
2020100000,2020年度,1462,北海道 南富良野町,,2751445,,982,
2020100000,2020年度,1463,北海道 占冠村,,1837298,,705,
2020100000,2020年度,1464,北海道 和寒町,,3345649,,1209,
2020100000,2020年度,1465,北海道 剣淵町,,3257017,,1183,
2020100000,2020年度,1468,北海道 下川町,,3590948,,1269,
2020100000,2020年度,1469,北海道 美深町,,4848918,,1723,
2020100000,2020年度,1470,北海道 音威子府村,,1139115,,340,
2020100000,2020年度,1471,北海道 中川町,,1959973,,630,
2020100000,2020年度,1472,北海道 幌加内町,,2228284,,683,
2020100000,2020年度,1481,北海道 増毛町,,4264967,,1599,
2020100000,2020年度,1482,北海道 小平町,,3469658,,1245,
2020100000,2020年度,1483,北海道 苫前町,,3764461,,1230,
2020100000,2020年度,1484,北海道 羽幌町,,7844974,,2809,
2020100000,2020年度,1485,北海道 初山別村,,1432292,,463,
2020100000,2020年度,1486,北海道 遠別町,,3211218,,1092,
2020100000,2020年度,1487,北海道 天塩町,,4548279,,1434,
2020100000,2020年度,1511,北海道 猿払村,,7515761,,1415,
2020100000,2020年度,1512,北海道 浜頓別町,,6449949,,1721,
2020100000,2020年度,1513,北海道 中頓別町,,2077142,,725,
2020100000,2020年度,1514,北海道 枝幸町,,14422216,,3785,
2020100000,2020年度,1516,北海道 豊富町,,5196323,,1824,
2020100000,2020年度,1517,北海道 礼文町,,3920892,,1187,
2020100000,2020年度,1518,北海道 利尻町,,2963162,,954,
2020100000,2020年度,1519,北海道 利尻富士町,,2834327,,1000,
2020100000,2020年度,1520,北海道 幌延町,,3542365,,1070,
2020100000,2020年度,1543,北海道 美幌町,,24033476,,8509,
2020100000,2020年度,1544,北海道 津別町,,5568434,,1904,
2020100000,2020年度,1545,北海道 斜里町,,19730051,,5402,
2020100000,2020年度,1546,北海道 清里町,,6150940,,1880,
2020100000,2020年度,1547,北海道 小清水町,,6992833,,2343,
2020100000,2020年度,1549,北海道 訓子府町,,7402045,,2172,
2020100000,2020年度,1550,北海道 置戸町,,3352885,,1125,
2020100000,2020年度,1552,北海道 佐呂間町,,8351103,,2191,
2020100000,2020年度,1555,北海道 遠軽町,,24559144,,8525,
2020100000,2020年度,1559,北海道 湧別町,,12577002,,3877,
2020100000,2020年度,1560,北海道 滝上町,,3082664,,1041,
2020100000,2020年度,1561,北海道 興部町,,6823018,,1794,
2020100000,2020年度,1562,北海道 西興部村,,1343440,,459,
2020100000,2020年度,1563,北海道 雄武町,,7234578,,2060,
2020100000,2020年度,1564,北海道 大空町,,10676206,,3394,
2020100000,2020年度,1571,北海道 豊浦町,,3718119,,1461,
2020100000,2020年度,1575,北海道 壮瞥町,,2542094,,962,
2020100000,2020年度,1578,北海道 白老町,,15938956,,6432,
2020100000,2020年度,1581,北海道 厚真町,,6054747,,1892,
2020100000,2020年度,1584,北海道 洞爺湖町,,9120145,,3475,
2020100000,2020年度,1585,北海道 安平町,,13466637,,3216,
2020100000,2020年度,1586,北海道 むかわ町,,9529559,,3324,
2020100000,2020年度,1601,北海道 日高町,,16048105,,5323,
2020100000,2020年度,1602,北海道 平取町,,6306072,,2108,
2020100000,2020年度,1604,北海道 新冠町,,7244364,,2431,
2020100000,2020年度,1607,北海道 浦河町,,16287766,,5407,
2020100000,2020年度,1608,北海道 様似町,,4758131,,1783,
2020100000,2020年度,1609,北海道 えりも町,,5625148,,1924,
2020100000,2020年度,1610,北海道 新ひだか町,,27193838,,9465,
2020100000,2020年度,1631,北海道 音更町,,62503927,,20402,
2020100000,2020年度,1632,北海道 士幌町,,11392723,,2887,
2020100000,2020年度,1633,北海道 上士幌町,,7966097,,2394,
2020100000,2020年度,1634,北海道 鹿追町,,9513595,,2650,
